ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L146,ApplicationTest,com.zhy.sample.ApplicationTest,L137,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\sample\src\androidTest\java\com\zhy\sample\ApplicationTest.java,9,1,15,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,1,0.5,0.3,3,3,1,1,0.3,3,0,0,0,0,0,7,7,0,0,0,0,1,0,1,0,1,1,0,1,0,7,7,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
L123,ApplicationTest,com.zhy.http.okhttp.ApplicationTest,L107,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\androidTest\java\com\zhy\http\okhttp\ApplicationTest.java,9,1,15,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,1,0.5,0.3,3,3,1,1,0.3,3,0,0,0,0,0,7,7,0,0,0,0,1,0,1,0,1,1,0,1,0,7,7,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
L782,OkHttpProxy,com.socks.okhttp.plus.OkHttpProxy,L151,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\com\socks\okhttp\plus\OkHttpProxy.java,17,1,75,2,0.0,0,0,0,0.0,0.0,0,0,4,2,2,14,5,6,16,1,9,0.25,0.117647,6,6,2,6,0.117647,6,0,0,0,0,0,45,59,1,1,1,1,8,0,7,1,8,20,0,7,1,45,59,1,1,1,1,8,0,7,1,8,20,0,7,1,0,0,18,0,0,0,0,0,1,0,0,0,17,0,0,0,0,0,0,0,0
L924,MainActivity,com.socks.sample.okhttp.MainActivity,L915,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\sample\src\main\java\com\socks\sample\okhttp\MainActivity.java,38,1,299,2,0.265711,3,7,7,0.255725,0.300971,67,62,7,1,1,16,13,9,0,19,32,0.25,0.115702,14,14,3,9,0.0678733,15,1,1,0,0,1,107,148,9,6,2,6,13,0,11,0,13,31,7,11,0,206,262,20,14,2,6,33,0,31,0,93,61,8,83,0,0,0,254,2,2,2,122,1,9,0,1,0,107,0,0,0,0,1,0,0,15
L1284,OkApplication,com.socks.sample.okhttp.OkApplication,L915,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\sample\src\main\java\com\socks\sample\okhttp\OkApplication.java,22,1,48,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,3,3,0,0,2,3,0.5,0.16,4,3,1,1,0.16,4,0,0,0,0,0,21,27,0,0,0,0,1,0,1,0,1,10,0,1,0,21,27,0,0,0,0,1,0,1,0,1,10,0,1,0,0,0,5,2,1,2,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0
L164,BodyWrapper,com.socks.okhttp.plus.body.BodyWrapper,L159,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\com\socks\okhttp\plus\body\BodyWrapper.java,11,1,29,2,0.0,0,0,0,0.0,0.0,0,0,2,0,0,2,2,2,2,1,3,0.0,0.0,0,0,0,3,0.0,0,0,0,0,0,0,10,12,0,0,0,0,2,0,2,0,2,2,0,2,0,17,19,0,0,0,0,3,0,3,0,3,4,0,3,0,0,0,13,0,0,0,0,0,1,0,0,0,12,0,0,0,0,0,0,0,0
L195,RequestProgressBody,com.socks.okhttp.plus.body.RequestProgressBody,L159,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\com\socks\okhttp\plus\body\RequestProgressBody.java,19,1,66,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,6,1,2,2,0,5,0.2,0.0967742,3,3,1,4,0.0681818,3,0,0,0,0,0,28,34,3,0,3,0,5,0,4,0,5,9,0,4,0,41,48,5,0,5,0,6,0,5,0,6,15,0,5,0,0,0,18,1,2,1,0,0,0,0,0,0,18,0,0,0,0,2,0,0,0
L189,ResponseProgressBody,com.socks.okhttp.plus.body.ResponseProgressBody,L159,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\com\socks\okhttp\plus\body\ResponseProgressBody.java,19,1,65,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,6,1,2,1,0,5,0.2,0.0967742,3,3,1,4,0.0731707,3,0,0,0,0,0,28,35,3,0,3,0,5,0,4,0,5,8,0,4,0,38,47,4,0,4,0,6,0,5,0,6,13,0,5,0,0,0,18,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0
L267,GetRequestBuilder<T extends Object>,com.socks.okhttp.plus.builder.GetRequestBuilder,L261,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\com\socks\okhttp\plus\builder\GetRequestBuilder.java,19,1,95,2,0.510288,1,8,2,0.38961,0.385965,30,22,1,1,1,16,3,3,6,3,9,0.142857,0.05,3,3,1,6,0.05,3,1,1,0,0,1,57,77,3,0,0,0,6,0,6,1,9,33,0,4,1,57,77,3,0,0,0,6,0,6,1,9,33,0,4,1,0,0,32,0,0,0,17,0,0,0,0,0,15,0,0,0,0,0,0,0,0
L338,PostRequestBuilder<T extends Object>,com.socks.okhttp.plus.builder.PostRequestBuilder,L261,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\com\socks\okhttp\plus\builder\PostRequestBuilder.java,21,1,106,2,0.464646,1,6,2,0.302326,0.338028,26,24,1,1,1,15,3,2,1,4,12,0.111111,0.0405405,3,3,1,8,0.0405405,3,1,1,0,0,1,71,86,4,0,1,0,8,0,8,1,11,43,0,6,1,71,86,4,0,1,0,8,0,8,1,11,43,0,6,1,0,0,36,0,1,0,17,0,0,0,0,0,19,0,1,0,0,0,0,0,0
L270,RequestBuilder<T extends Object>,com.socks.okhttp.plus.builder.RequestBuilder,L261,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\com\socks\okhttp\plus\builder\RequestBuilder.java,17,1,59,2,0.0,0,0,0,0.0,0.0,0,0,3,2,2,14,0,3,5,0,5,1.0,0.0833333,3,3,1,0,0.0833333,3,0,0,3,3,0,33,43,3,0,3,0,5,0,0,0,5,16,0,0,0,33,43,3,0,3,0,5,0,0,0,5,16,0,0,0,0,0,13,0,4,0,0,3,1,0,0,0,12,0,0,0,0,1,0,0,0
